city,short,collectionVer,poi,loc_x,map,loc_y
Haifa,il,2.2,Dan Panorama Haifa Hotel,1254.6,HaMifrats,385.20000000000005
Haifa,il,0.0,Ein ElWadi Restaurant,1019.4000000000001,HaMifrats,542.0
Haifa,il,2.2,Ein ElWadi Restaurant,1019.4000000000001,HaMifrats,542.0
Haifa,il,0.0,Kalamaris,821.0,HaMifrats,682.8
Haifa,il,2.2,Kalamaris,821.0,HaMifrats,682.8
Haifa,il,0.0,McDonalds,1523.4,HaMifrats,740.4000000000001
Haifa,il,2.2,McDonalds,1523.4,HaMifrats,740.4000000000001
Haifa,il,0.0,Kishon River Authority,136.20000000000005,HaShmona,175.60000000000002
Haifa,il,2.2,Kishon River Authority,136.20000000000005,HaShmona,175.60000000000002
Haifa,il,0.0,Schnitzel & Co.,97.79999999999995,HaShmona,716.4000000000001
Haifa,il,2.2,Schnitzel & Co.,97.79999999999995,HaShmona,716.4000000000001
Haifa,il,0.0,Sculptures Garden,517.0,HaShmona,500.4
Haifa,il,2.2,Sculptures Garden,517.0,HaShmona,500.4
Haifa,il,0.0,Shawarma Sabbah,1033.8,HaShmona,628.4000000000001
Haifa,il,2.2,Shawarma Sabbah,1033.8,HaShmona,628.4000000000001
Haifa,il,0.0,The Moshe Stekelis pehistoric Museum,777.8,HaShmona,727.5999999999999
Haifa,il,2.2,The Moshe Stekelis pehistoric Museum,777.8,HaShmona,727.5999999999999
Haifa,il,0.0,The Museum of Music and Ethnology,329.79999999999995,HaShmona,687.5999999999999
Haifa,il,2.2,The Museum of Music and Ethnology,329.79999999999995,HaShmona,687.5999999999999
Haifa,il,0.0,The National Maritime Museum,133.0,HaShmona,410.79999999999995
Haifa,il,2.2,The National Maritime Museum,133.0,HaShmona,410.79999999999995
Jerusalem,il,0.0,Abraham Hostel Jerusalem,391.79999999999995,East Jerusalem,369.6
Jerusalem,il,2.2,Abraham Hostel Jerusalem,391.79999999999995,East Jerusalem,369.6
Jerusalem,il,0.0,Castro,402.20000000000005,East Jerusalem,200.8
Jerusalem,il,2.2,Castro,402.20000000000005,East Jerusalem,200.8
Jerusalem,il,0.0,Jerusalem Centre for Public Affairs,125.39999999999998,East Jerusalem,351.2
Jerusalem,il,2.2,Jerusalem Centre for Public Affairs,125.39999999999998,East Jerusalem,351.2
Jerusalem,il,0.0,Jerusalem Theatre,215.0,East Jerusalem,108.0
Jerusalem,il,2.2,Jerusalem Theatre,215.0,East Jerusalem,108.0
Jerusalem,il,0.0,Lev Smadar,40.60000000000002,East Jerusalem,61.599999999999994
Jerusalem,il,2.2,Lev Smadar,40.60000000000002,East Jerusalem,61.599999999999994
Jerusalem,il,0.0,McDonald's Kosher,523.266687807006,East Jerusalem,616.8421319607561
Jerusalem,il,2.2,McDonald's Kosher,523.266687807006,East Jerusalem,616.8421319607561
Jerusalem,il,0.0,Nike Factory Store Jerusalem,195.16843121406254,East Jerusalem,561.024586233326
Jerusalem,il,2.2,Nike Factory Store Jerusalem,195.16843121406254,East Jerusalem,561.024586233326
Jerusalem,il,0.0,Off The Wall Comedy Theater,370.7894897223185,East Jerusalem,610.0351141891183
Jerusalem,il,2.2,Off The Wall Comedy Theater,370.7894897223185,East Jerusalem,610.0351141891183
Tel-aviv,il,0.0,Dan Tel Aviv Hotel,441.79999999999995,North Tel-aviv,780.4000000000001
Tel-aviv,il,0.0,Hakosem,489.79999999999995,North Tel-aviv,521.2
Tel-aviv,il,0.0,Museum of the Jewish People at Beit Hatfutsot,286.5999999999999,North Tel-aviv,663.5999999999999
Tel-aviv,il,0.0,Muvix Concept,104.20000000000005,North Tel-aviv,558.0
Tel-aviv,il,0.0,Salva vida,889.8,North Tel-aviv,732.4000000000001
Tel-aviv,il,0.0,Tel Aviv Cinematheque,701.0,North Tel-aviv,454.0
Tel-aviv,il,0.0,The Block,717.0,North Tel-aviv,722.8
Tel-aviv,il,0.0,Ben-Gurion House,1583.8,South Tel-aviv,262.4
Tel-aviv,il,0.0,Dan Tel Aviv Hotel,1477.0,South Tel-aviv,577.2
Tel-aviv,il,0.0,Lev Cinema,1309.4,South Tel-aviv,361.6
Tel-aviv,il,0.0,Museum of the Jewish People at Beit Hatfutsot,1120.1999999999998,South Tel-aviv,633.2
Tel-aviv,il,0.0,Salva vida,1024.1999999999998,South Tel-aviv,430.0
Tel-aviv,il,0.0,Tel Aviv Cinematheque,792.1999999999998,South Tel-aviv,689.2
Tel-aviv,il,0.0,Tel Aviv Museum of Art,1429.0,South Tel-aviv,748.4000000000001
Okazaki,jp,0.0,Bizenya,857.8,Junko's Hometown,246.0
Okazaki,jp,0.0,Kyoto Travellers Inn,841.8,Junko's Hometown,566.0
Okazaki,jp,0.0,Machiya Kyoto Shogoin,752.2,Junko's Hometown,697.2
Okazaki,jp,0.0,Miso Factory,393.79999999999995,Junko's Hometown,554.8
Okazaki,jp,0.0,Namuchai Okazaki,149.0,Junko's Hometown,335.6
Okazaki,jp,0.0,Okazaki Castle,40.200000000000045,Junko's Hometown,556.4
Okazaki,jp,0.0,Okazaki Children's Museum of Art,193.79999999999995,Junko's Hometown,73.19999999999999
Okazaki,jp,0.0,Okazaki Park,61.0,Junko's Hometown,316.4
Okazaki,jp,0.0,Bizenya,360.20000000000005,The Okazaki District of Kyoto,642.8
Okazaki,jp,0.0,Okazaki Castle,1099.4,The Okazaki District of Kyoto,377.20000000000005
Okazaki,jp,0.0,Okazaki Shihigashi Park,1417.8000000000002,The Okazaki District of Kyoto,374.0
Okazaki,jp,0.0,Shin Mikimoto,139.4000000000001,The Okazaki District of Kyoto,452.4
Okazaki,jp,0.0,Tartaruga,757.0,The Okazaki District of Kyoto,740.4000000000001
Okazaki,jp,0.0,The Westin Miyako Hotel Kyoto ,589.0,The Okazaki District of Kyoto,182.0
Tokyo,jp,0.0,Arva by Aman Tokyo,894.5999999999999,North tokyo,284.4
Tokyo,jp,0.0,Club 23 tokyo,670.5999999999999,North tokyo,207.60000000000002
Tokyo,jp,0.0,Comfort Suites Tokyo Bay,145.79999999999995,North tokyo,276.4
Tokyo,jp,0.0,Hakushu Teppanyaki,45.0,North tokyo,436.4
Tokyo,jp,0.0,IBEX tokyo,286.5999999999999,North tokyo,694.0
Tokyo,jp,0.0,Mitsui Garden Hotel Gotanda,651.4000000000001,North tokyo,532.4
Tokyo,jp,0.0,Mitsui Garden Hotel Nihonbashi Premier,909.0,North tokyo,25.19999999999999
Tokyo,jp,0.0,Arva by Aman Tokyo,347.4000000000001,South tokyo,142.0
Tokyo,jp,0.0,Rinshi-no-mori Park,568.2,South tokyo,460.4
Tokyo,jp,0.0,Shinjuku Gyoen National Garden,625.8,South tokyo,727.5999999999999
Tokyo,jp,0.0,Tapas Molecular Bar,651.4000000000001,South tokyo,260.4
Tokyo,jp,0.0,TOHO Cinemas Shinjuku,873.8,South tokyo,334.0
Tokyo,jp,0.0,Tokyo National Museum,40.200000000000045,South tokyo,666.8
Tokyo,jp,0.0,Yoyogi Park,942.5999999999999,South tokyo,580.4
